image,text
data/processed/0.png,"پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور"
data/processed/1.png,اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس
data/processed/2.png,نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے
data/processed/3.png,نہیں آ یا۔ آخریہ کونسا مذہب ہے؟کیا اسلام کے نام
data/processed/4.png,ضرور ہے۔ انہوں نے کہا کہ میرا احمدیوں سے کوئی
data/processed/5.png,ڈالر کی قدر میں اضافہ ہوگیا تاہم یورپین ممالک کی
data/processed/6.png,اہم کرنسیوں بشمول یورو اور برطانوی پاؤنڈ کی قدر میں
data/processed/7.png,کمی ریکارڈ کی گئی۔ منگل کو امریکی ڈالر کی قیمت
data/processed/8.png,فروخت اور قیمت خرید میں بالترتیب 21 پیسے اور 20
data/processed/9.png,"پیسے کی تیزی رہی، تاہم یورو کی قیمت فروخت میں"
data/processed/10.png,50 پیسے اور قیمت خرید میں 49 پیسے کی کمی
data/processed/11.png,ریکارڈ کی گئی۔ اسی طرح برطانوی پاؤنڈ کی قدر میں
data/processed/12.png,بھی 45 پیسے کی مندی رہی۔ نیشنل بینک آف پاکستان
data/processed/13.png,سے جاری کردہ اعداد و شمار کے مطابق امریکی ڈالر
data/processed/14.png,اپنی گزشتہ کاروباری روز کی قیمت فروخت 88.17 روپے سے
data/processed/15.png,"تعلق نہیں، انہوں نے کہا کہ پولیس کو اپنی کارکردگی"
data/processed/16.png,بڑھ کر 88.38 روپے اور قیمت خرید 85.97 روپے سے
data/processed/17.png,بڑھ کر 86.17 روپے ہوگئی۔ دریں اثناء یورو کی قیمت
data/processed/18.png,فروخت 124.93 روپے سے کم ہو کر 124.43 روپے اور
data/processed/19.png,قیمت خرید 121.77 روپے سے کم ہو کر 121.28 روپے
data/processed/20.png,ہوگئی۔ اسی طرح برطانوی پاؤنڈ کی قیمت فروخت بھی 142.69
data/processed/21.png,روپے سے کم ہو کر 142.24 روپے اور قیمت خرید
data/processed/22.png,139.11 روپے سے کم ہو کر 138.66 روپے پر بند
